
German,English
ich,I
sie,she
das,the
ist,is
du,you
nicht,not
die,the
es,it
und,and
der,the
wir,we
was,What
zu,to
er,he
ein,a
in,in
ja,Yes
mir,me
mit,with
wie,How
den,the
mich,me
auf,on
dass,that
aber,but
eine,one
so,so
hat,has
hier,here
haben,have
für,for
sind,are
war,was
von,from
wenn,if
dich,you
ihr,her
nein,no
habe,have
an,to
bin,am
noch,still
nur,only
da,there
dir,you
sich,itself
einen,a
uns,us
hast,have
dem,dem
kann,can
gut,good
auch,also
schon,already
als,as
sein,be
mal,just
jetzt,now
ihn,him
dann,then
aus,out of
meine,mine
um,around
im,in the
wird,becomes
mein,my
bist,are
doch,but
alles,everything
weiß,white
keine,no
oder,or
nach,after
s,s
nichts,nothing
man,man
muss,must
werden,become
will,wants
ihnen,them
geht,goes
wo,where
etwas,something
oh,Oh
mehr,more
bei,at
also,so
bitte,please
immer,always
hab,have
warum,Why
vor,before
los,go
können,can
wieder,again
sagen,say
machen,make
danke,Thanks
sehr,very
alle,all
denn,because
mann,man
tun,do
ihm,him
zum,for the
gehen,go
sehen,see
vielleicht,perhaps
einem,one
wer,who
ihre,her
diese,this
euch,you
einer,one
komm,come
über,above
gibt,gives
okay,OK
wissen,knowledge
deine,your
müssen,must
soll,should
werde,become
nie,never
wirklich,really
hey,hey
kein,no
viel,much
weg,away
würde,would
tut,does
am,on
des,des
einfach,simply
leben,life
hatte,had
zeit,time
weil,because
willst,want
kommen,come
dein,your
heute,today
kommt,comes
wollen,want
damit,with it
ganz,quite
wäre,were
wollte,wanted
weißt,know
ok,OK
sicher,secure
gesagt,said
frau,woman
nun,so
bis,until
wurde,became
leid,sorrow
na,n/a
kannst,can
macht,might
dieser,this
zurück,back
lassen,let
hallo,Hello
meinen,mean
gott,God
seine,his
hätte,would have
zwei,two
könnte,could
genau,Exactly
waren,were
zur,to
lass,let
klar,clear
morgen,morning
leute,people
vater,father
schön,nice
glaube,believe
mr.,mr.
ab,away
gerade,straight
tag,day
gesehen,seen
reden,talk
wohl,probably
liebe,love
sollte,should
sagte,said
unsere,our
jemand,someone
geld,money
durch,through
ob,whether
keinen,none
mutter,mother
raus,out
gemacht,made
paar,couple
mach,do
passiert,happened
dachte,thought
besser,better
musst,must
wieso,how come
sir,sir
dieses,this
selbst,himself
gehört,heard
möchte,want
ohne,without
hör,listen
her,here
sag,say
meiner,mine
anderen,others
helfen,help
nacht,night
finden,find
diesen,this one
gute,good
wirst,will
lange,long
natürlich,naturally
ach,Oh
meinem,mine
gar,even
ins,into the
sei,be
dort,there
weiter,further
geben,give
seit,since
gleich,even
sagt,says
recht,right
ihren,your
richtig,correct
ordnung,order
vom,from the
hören,hear
sieht,sees
davon,of that
dafür,for that
geh,go
diesem,this one
wegen,because of
hause,home
sollten,should
mädchen,girl
hin,there
sollen,should
abend,evening
haus,a house
denke,think
viele,many
drei,three
deinen,yours
freund,friend
guten,good
unser,our
warte,wait
machst,do
menschen,people
essen,eat
angst,fear
bleiben,remain
zusammen,together
welt,world
unter,under
habt,have
schnell,fast
andere,other
tot,dead
getan,did
darf,may
erst,first
rein,pure
stimmt,true
nehmen,take
kinder,children
eines,one
glauben,believe
bringen,bring
ganze,whole
genug,enough
scheiße,shit
brauchen,need
gegen,against
moment,moment
junge,boy
steht,stands
sonst,otherwise
musik,music
arbeit,work
seid,are
ihrer,theirs
fragen,questions
herr,Mr
dabei,included
heißt,is called
familie,family
warten,wait
niemand,no one
sofort,immediately
bevor,before
jahre,years
einmal,once
problem,problem
sohn,son
wann,When
brauche,need
fertig,complete
halt,stop
allein,alone
beim,at the
sprechen,speak
beide,both
gefunden,found
hatten,had
sache,matter
hilfe,help
verdammt,damned
ne,no
jeder,everyone
warst,were
gern,gladly
konnte,could
darüber,about it
halten,hold
siehst,see
verstehe,understand
jahren,years
kam,came
kind,child
wusste,knew
wahr,true
seinen,his
dazu,in addition
bruder,brother
daran,to it
ihrem,theirs
denken,think
könnten,could
dank,thanks to
würden,would
lieber,Dear
fall,case
deiner,yours
sehe,see
egal,doesn't matter
kennen,know
deinem,yours
vergessen,forget
frage,ask
mache,make
komme,come
sage,saw
mag,likes
sieh,see
echt,real
gib,give
eigentlich,actually
jeden,every
dad,dad
gab,gave
uhr,clock
stadt,city
männer,men
baby,baby
fahren,drive
namen,names
bekommen,receive
kopf,head
hi,hi
gehe,go
kleine,small
später,later
glück,happiness
letzte,last
freunde,friends
n,n
all,all
darauf,on it
ende,end
dr.,dr.
bald,soon
töten,kill
dinge,things
meinst,mean
toll,great
eins,one
minuten,minutes
vielen,many
bereit,ready
weit,far
ahnung,idea
seiner,his
bisschen,a little
tür,door
auto,car
jungs,guys
eure,your
augen,eyes
polizei,police
stehen,stand
sterben,die
hätten,would have
draußen,outside
kenne,know
fast,almost
runter,down
vorbei,over
